,Country,emissions_mt,emissions_kg,emissions_per_capita
114,Luxembourg,9.2947,0.1715610013365209,15.93044879210908
138,Nepal,9.0282,0.1294695277429398,0.3080771409709702
46,Costa Rica,8.695,0.119998134625892,1.772403062598341
33,Cambodia,7.9383,0.1385896449563153,0.4959771946583189
26,Botswana,7.875,0.2240713165821089,3.43637213357473
98,Jamaica,7.7726,0.3328323833276712,2.689202743383989
34,Cameroon,7.6872,0.1065874322014387,0.3195845699920016
51,Cyprus,7.5147,0.2725513155548986,6.370813979217516
20,Benin,7.5021,0.3318719351496732,0.6712872903082869
153,Papua New Guinea,7.3875,0.0,0.8953284398003578
116,Macedonia (Republic of),7.2515,0.2598878315302676,3.481009620000384
107,Latvia,7.1668,0.152595029348716,3.675904127365144
60,El Salvador,6.992,0.137261866636335,1.096293690055258
210,Uruguay,6.8403,0.09748674905345658,1.978824039921892
61,Equatorial Guinea,6.7149,0.0,5.296961636489707
1,Albania,6.3792,0.1990770939215658,2.177062419565714
50,Curaçao,6.2533,0.0,38.95190576744591
154,Paraguay,5.8503,0.0959431301118287,0.858911305732227
205,Uganda,5.7828,0.0,0.134913694010572
193,Tajikistan,5.7114,0.225469090111856,0.6401950917031214
8,Armenia,5.6564,0.2245335029081821,1.930215495913597
140,New Caledonia,5.5645,0.0,20.14262185299814
72,Gabon,5.5264,0.1683896727159746,2.728901797754917
142,Nicaragua,5.4229,0.1696420559189442,0.8721880744295893
129,Moldova,5.0936,0.2834203260203997,1.257302752855195
53,Democratic Republic of the Congo,4.8137,0.08150463092154205,0.05917999397786978
218,Zambia,4.7461,0.07723896911290748,0.2776450161546683
126,Mauritius,4.2792,0.1735695034845441,3.38239780956702
136,Namibia,4.0653,0.1727223269722235,1.604431930930454
90,Iceland,3.48,0.2234624674558702,10.38728453100515
44,Congo,3.4097,0.1355869053787791,0.6481395238321532
31,Burkina Faso,3.335,0.0,0.1737578088113913
117,Madagascar,3.1821,0.0,0.1244422614069629
86,Haiti,2.9979,0.1686124297715366,0.2730022295318675
197,Togo,2.9911,0.2777110551793603,0.3835877632541107
83,Guinea,2.9047,0.0,0.228407627605374
125,Mauritania,2.8387,0.0,0.6422130843421902
109,Lesotho,2.8238,0.0,1.264384851560824
131,Montenegro,2.6278,0.2695467750176729,4.178008140422285
13,Bahamas,2.5644,0.0,6.486223982638651
143,Niger,2.4851,0.1285792660105038,0.1157079542595296
148,Occupied Palestinian Territory,2.318,0.0,0.4710688914883257
85,Guyana,2.0766,0.0,2.669635499492839
187,Suriname,2.0537,0.259429059510856,3.645176978427482
106,Laos,1.958,0.0,0.2854993176012225
160,Republic of South Sudan,1.8407,0.1141494121854097,0.1463694228415182
121,Mali,1.7238,0.0,0.09296741771914326
120,Maldives,1.5718,0.0,3.602319345449545
115,Macao,1.5122,0.0,2.42897551588825
122,Malta,1.4445,0.09665217281076623,3.352791671985794
176,Sierra Leone,1.3925,0.0,0.1842610740574699
118,Malawi,1.3675,0.0,0.07343423707654087
67,Fiji,1.3444,0.0,1.48470130380717
188,Swaziland,1.3438,0.0,0.9828459086607171
16,Barbados,1.3227,0.0,4.629373615335347
22,Bhutan,1.1664,0.0,1.444261462834784
110,Liberia,1.0778,0.0,0.2277729101127537
164,Rwanda,1.0247,0.0,0.08393396452133353
71,French Polynesia,0.94568,0.0,3.341542788694273
9,Aruba,0.92787,0.0,8.81469448244414
55,Djibouti,0.81701,0.0,0.8537333396030241
62,Eritrea,0.79305,0.09229300298819619,0.1564561927592378
181,Somalia,0.7489,0.0,0.05079863195736578
39,Chad,0.72871,0.0,0.04890673110338165
65,Faeroe Islands,0.67294,0.0,13.65266788395212
73,Gambia,0.62219,0.0,0.2962008371069159
21,Bermuda,0.61208,0.0,9.977016740289164
175,Seychelles,0.60905,0.0,6.42885039636045
36,Cape Verde,0.59998,0.0,1.098084145332621
79,Greenland,0.56973,0.0,10.08728753541076
6,Antigua and Barbuda,0.5653,0.0,5.541504920989688
19,Belize,0.56083,0.0,1.496819961513928
196,Timor-Leste,0.55273,0.0,0.4263868778402714
32,Burundi,0.52914,0.0,0.0487047190117675
3,Andorra,0.52018,0.0,6.758656532189956
167,Saint Lucia,0.43274,0.0,2.419650645255083
24,"Bonaire, Saint Eustatius and Saba",0.34308,0.0,13.50815024805103
84,Guinea-Bissau,0.33133,0.0,0.1780116188672008
38,Central African Republic,0.31073,0.0,0.06669342445289628
151,Palau,0.30659,0.0,14.1097151272493
80,Grenada,0.27623,0.0,2.561836308833758
166,Saint Kitts and Nevis,0.24561,0.0,4.43779925919234
180,Solomon Islands,0.2375,0.0,0.3884889497385265
170,Samoa,0.23318,0.0,1.187029118305844
169,Saint Vincent and the Grenadines,0.22222,0.0,2.022075215883964
203,Turks and Caicos Islands,0.21832,0.0,6.159228121649833
28,British Virgin Islands,0.19103,0.0,6.123541479676882
43,Comoros,0.18948,0.0,0.2328015805148468
212,Vanuatu,0.18136,0.0,0.6565210466109671
128,Micronesia (Federated States of),0.17705,0.0,1.677499431516714
112,Liechtenstein,0.16125,0.0,4.252149148251675
5,Anguilla,0.15205,0.0,10.19853779596217
56,Dominica,0.14425,0.0,1.951301995265472
198,Tonga,0.1425,0.0,1.319200148120718
123,Marshall Islands,0.12091,0.0,2.275867261467804
171,Sao Tome and Principe,0.11747,0.0,0.5749117835626226
45,Cook Islands,0.082045,0.0,4.720655926352129
168,Saint Pierre and Miquelon,0.081871,0.0,12.95427215189873
103,Kiribati,0.073409,0.0,0.6306723483221361
137,Nauru,0.056136,0.0,4.94198432960648
132,Montserrat,0.050682,0.0,9.789839675487734
215,Wallis and Futuna Islands,0.025909,0.0,2.200713496984626
204,Tuvalu,0.012955,0.0,1.157523230879199
145,Niue,0.012955,0.0,8.006798516687267
165,Saint Helena,0.011696,0.0,2.888614472709311
37,Cayman Islands,,,
66,Falkland Islands (Malvinas),,,
70,French Guiana,,,
77,Gibraltar,,,
81,Guadeloupe,,,
124,Martinique,,,
161,Réunion,,,
216,Western Sahara,,,
