,id,title,categories,date,closed,date_closed,geometries,year
2131,EONET_211,"Volga River Delta Fires (Russia, Kazakhstan)",Wildfires,2015-09-17,True,2015-10-07,"{'type': 'Polygon', 'coordinates': [[[47.138671875, 45.17753504022387], [47.138671875, 46.970643547806986], [50.1318359375, 46.970643547806986], [50.1318359375, 45.17753504022387], [47.138671875, 45.17753504022387]]]}",2015
2132,EONET_196,Typhoon Krovanh,Severe Storms,2015-09-14,True,2015-09-26,"{'type': 'Point', 'coordinates': [151.9, 17.1]}",2015
2133,EONET_212,Pacific Islands Drought,Drought,2015-09-14,True,2015-12-31,"{'type': 'Polygon', 'coordinates': [[[150.849609375, -23.992087516080126], [150.849609375, 8.480176033023016], [-157.81738681250005, 8.480176033023016], [-157.81738681250005, -23.992087516080126], [150.849609375, -23.992087516080126]]]}",2015
2134,EONET_193,Tropical Storm Vamco,Severe Storms,2015-09-13,True,2015-09-20,"{'type': 'Point', 'coordinates': [111.3, 15.8]}",2015
2135,EONET_200,"Meeks Table Fire, Washington",Wildfires,2015-09-12,True,2015-09-21,"{'type': 'Point', 'coordinates': [-121.07055555556, 46.821666666667]}",2015
2136,EONET_194,"Dry Gulch Fire, Oregon",Wildfires,2015-09-12,True,2015-10-15,"{'type': 'Polygon', 'coordinates': [[[-117.30537414550776, 44.797282278095665], [-117.30537414550776, 44.91254284410344], [-117.13088989257818, 44.91254284410344], [-117.13088989257818, 44.797282278095665], [-117.30537414550776, 44.797282278095665]]]}",2015
2137,EONET_197,"Valley Fire, California",Wildfires,2015-09-12,True,2015-10-15,"{'type': 'Polygon', 'coordinates': [[[-122.76763916015625, 38.69553142468425], [-122.76763916015625, 38.89931118341154], [-122.44827270507812, 38.89931118341154], [-122.44827270507812, 38.69553142468425], [-122.76763916015625, 38.69553142468425]]]}",2015
2138,EONET_189,Tropical Storm Henri,Severe Storms,2015-09-09,True,2015-09-17,"{'type': 'Point', 'coordinates': [-61.5, 30.8]}",2015
2139,EONET_190,"Butte Fire, California",Wildfires,2015-09-09,True,2015-10-15,"{'type': 'Polygon', 'coordinates': [[[-120.67766189575195, 38.33435781933695], [-120.67766189575195, 38.34286283704294], [-120.66505432128906, 38.34286283704294], [-120.66505432128906, 38.33435781933695], [-120.67766189575195, 38.33435781933695]]]}",2015
2140,EONET_186,Tropical Storm Etau,Severe Storms,2015-09-07,True,2015-09-14,"{'type': 'Point', 'coordinates': [138.9, 22.3]}",2015
2141,EONET_185,Hurricane Linda,Severe Storms,2015-09-06,True,2015-09-16,"{'type': 'Point', 'coordinates': [-106.9, 12.8]}",2015
2142,EONET_184,Tropical Storm Grace,Severe Storms,2015-09-05,True,2015-09-14,"{'type': 'Point', 'coordinates': [-25.2, 12.3]}",2015
2143,EONET_192,"Spruce Fire, Wyoming",Wildfires,2015-09-04,True,2015-09-15,"{'type': 'Point', 'coordinates': [-110.59111111111, 44.578055555556]}",2015
2144,EONET_546,"Asosan Volcano, Japan",Volcanoes,2015-09-03,True,2015-10-23,"{'type': 'Point', 'coordinates': [131.104, 32.884]}",2015
2145,EONET_181,Tropical Storm Kevin,Severe Storms,2015-08-31,True,2015-09-11,"{'type': 'Point', 'coordinates': [-111.7, 12.3]}",2015
2146,EONET_182,Dust storms in Middle East,Dust and Haze,2015-08-31,True,2015-09-13,"{'type': 'Polygon', 'coordinates': [[[34.130859375, 22.32384451850907], [34.130859375, 37.114057047669355], [60.72265625, 37.114057047669355], [60.72265625, 22.32384451850907], [34.130859375, 22.32384451850907]]]}",2015
